﻿Title:,"Figure 13 - HE student enrolments by CAH level 1 subject and sex"
Subtitle:,"Academic years 2019/20 to 2021/22"
Reference ID:,SB265 Figure 13
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-13
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-13.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 


"","2019/20","","","","2020/21","","","","","2021/22"
"Subject Area","Female","Male","Other","Total","Female ","Male ","Other ","Not known","Total ","Female  ","Male  ","Other  ","Not known  ","Total  "
"01 Medicine and dentistry","42,735","27,670","150","70,555","47,435","29,445","155","0","77,035","51,095","30,390","180","0","81,665"
"02 Subjects allied to medicine","233,205","61,510","275","294,990","269,305","69,445","395","0","339,150","291,555","74,125","530","0","366,210"
"03 Biological and sport sciences","55,405","57,420","125","112,950","58,050","59,050","220","0","117,320","58,155","59,030","325","0","117,505"
"04 Psychology","96,660","22,180","250","119,090","109,505","25,265","315","0","135,080","114,000","25,975","450","0","140,425"
"05 Veterinary sciences","8,695","1,945","10","10,645","9,430","2,100","45","0","11,575","10,035","2,070","40","0","12,145"
"06 Agriculture, food and related studies","10,735","5,995","15","16,750","12,070","6,325","30","0","18,425","12,575","7,035","50","0","19,660"
"07 Physical sciences","27,585","38,795","85","66,465","29,045","39,005","150","0","68,195","29,300","37,670","240","0","67,205"
"09 Mathematical sciences","17,360","29,295","70","46,725","18,010","30,405","110","0","48,530","17,435","29,560","150","0","47,145"
"10 Engineering and technology","34,890","140,225","130","175,245","36,875","146,060","225","0","183,160","37,965","147,455","300","0","185,725"
"11 Computing","26,305","105,610","210","132,130","32,480","120,975","370","0","153,825","37,305","126,465","485","0","164,260"
"13 Architecture, building and planning","22,665","36,875","30","59,570","23,970","38,195","70","0","62,235","24,410","39,105","95","0","63,610"
"26 Geography, earth and environmental studies (natural sciences)","16,415","15,300","25","31,745","17,005","15,335","55","0","32,400","17,635","15,500","85","0","33,220"
"Total science CAH level 1","592,655","542,820","1,390","1,136,865","663,180","581,610","2,135","0","1,246,920","701,460","594,385","2,920","0","1,298,765"
"15 Social sciences","172,890","87,120","320","260,325","188,365","93,725","525","0","282,615","190,485","95,140","705","0","286,325"
"16 Law","78,705","43,990","105","122,795","87,805","50,170","105","0","138,080","90,625","51,540","160","0","142,330"
"17 Business and management","199,365","213,105","180","412,650","225,915","248,675","380","0","474,970","249,135","280,875","450","0","530,460"
"19 Language and area studies","69,230","27,090","385","96,705","66,895","25,250","495","0","92,635","63,445","23,675","675","0","87,795"
"20 Historical, philosophical and religious studies","46,920","38,835","250","86,005","46,890","38,750","300","0","85,940","45,940","36,705","435","0","83,085"
"22 Education and teaching","100,150","29,525","200","129,880","104,995","30,795","250","0","136,045","105,660","30,005","290","0","135,960"
"23 Combined and general studies","26,280","15,190","40","41,510","28,265","16,190","70","0","44,525","29,480","18,045","120","0","47,645"
"24 Media, journalism and communications","28,615","17,800","95","46,510","28,895","18,585","145","0","47,625","28,980","18,950","205","0","48,135"
"25 Design, and creative and performing arts","118,520","67,585","890","186,990","120,355","68,710","1,080","35","190,180","121,205","67,275","1,415","0","189,890"
"26 Geography, earth and environmental studies (social sciences)","7,025","4,895","10","11,935","7,235","5,070","20","0","12,330","7,010","5,185","35","0","12,225"
"Total non-science CAH level 1","847,700","545,130","2,475","1,395,305","905,620","595,920","3,370","35","1,504,945","931,965","627,395","4,490","0","1,563,850"
"Total","1,440,355","1,087,945","3,860","2,532,165","1,568,795","1,177,525","5,505","35","2,751,865","1,633,425","1,221,780","7,410","0","2,862,620"